==11420== NVPROF is profiling process 11420, command: ./v1.out
==11420== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11420== Profiling application: ./v1.out
==11420== Profiling result:
==11420== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       4.48%       4.48%       4.48%
          1                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)       8.73%       8.73%       8.73%
          1                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      83.90%      83.90%      83.90%
          1                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.38%       0.38%       0.38%
          1                               stall_other                                           Issue Stall Reasons (Other)       1.92%       1.92%       1.92%
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.00%       0.00%       0.00%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.20%       0.20%       0.20%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.39%       0.39%       0.39%
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                                  L2 Read Transactions    98623005    98623005    98623005
          1                     l2_write_transactions                                                 L2 Write Transactions    72562987    72562987    72562987
          1                     local_memory_overhead                                                 Local Memory Overhead     100.04%     100.04%     100.04%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      29.46%      29.46%      29.46%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  5.2038GB/s  5.2038GB/s  5.2038GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  3.8763GB/s  3.8763GB/s  3.8763GB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)    97413994    97413994    97413994
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)    72562965    72562965    72562965
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  5.2684GB/s  5.2684GB/s  5.2684GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  3.8763GB/s  3.8763GB/s  3.8763GB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          1                          gld_transactions                                              Global Load Transactions        2602        2602        2602
          1              gld_transactions_per_request                                  Global Load Transactions Per Request    0.003205    0.003205    0.003205
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                          dram_utilization                                             Device Memory Utilization    Max (10)    Max (10)    Max (10)
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.517824    0.517824    0.517824
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
